time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/policy_loss,train/entropy_loss,train/loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,eval/mean_fox_agent,eval/loss_rate,eval/draw_rate,eval/mean_zones_completed,eval/win_rate,eval/mean_score_opponent,eval/mean_score_agent,eval/mean_min_zone_agent
1,4014080,40,200,,,,,,,,,,,,,,,,,,,
2,4022272,80,203,0.0003,0.017677093,0.00030365039865616004,0.00030365039865616004,-0.2364648382497739,-0.019496500492095947,0.07021360759493671,0.014372195282220087,0.9225000143051147,0.2,1909,,,,,,,,
3,4030464,123,199,0.0003,0.025579013,-0.012189808559747,-0.012189808559747,-0.23346624180172268,-0.04055292159318924,0.09281367041198502,0.00818354331309234,0.9543144106864929,0.2,1914,,,,,,,,
4,4038656,165,197,0.0003,0.020536618,-0.016623896580210937,-0.016623896580210937,-0.2422717841884245,-0.02726934477686882,0.10194524495677233,0.008443554573469616,0.9488747119903564,0.2,1920,,,,,,,,
5,4046848,205,199,0.0003,0.04611145,0.00341984725502484,0.00341984725502484,-0.2524432908086216,-0.006749613676220179,0.0700827205882353,0.013036811662673512,0.9605781435966492,0.2,1922,,,,,,,,
6,4055040,246,199,0.0003,0.019487087,-0.008473282970953733,-0.008473282970953733,-0.2558721172667685,-0.01204263512045145,0.091796875,0.013976367201567405,0.9541796445846558,0.2,1925,,,,,,,,
,,,,0.0003,0.015417337,-0.0018630283247483405,,-0.2505568562369598,-0.02843586727976799,0.078125,0.011363114558748508,0.9680224061012268,0.2,1927,2.565,0.17,0.005,0.04,0.825,172.31,212.825,12.895
7,4063232,389,147,,,,,,,,,,,,,,,,,,,
8,4071424,432,151,0.0003,0.018845608,-0.010492549587457262,-0.010492549587457262,-0.2546405651150866,-0.02789400890469551,0.09724069148936171,0.010879302694600947,0.9619434475898743,0.2,1930,,,,,,,,
9,4079616,472,156,0.0003,0.023612794,-0.004847167153558176,-0.004847167153558176,-0.2605339048637284,-0.02259647659957409,0.09092881944444445,0.011531615202936033,0.960432231426239,0.2,1933,,,,,,,,
10,4087808,513,159,0.0003,0.016683176,-0.004476267811177033,-0.004476267811177033,-0.25215685205394717,-0.037068963050842285,0.08067602040816327,0.012725752021255745,0.9596390128135681,0.2,1936,,,,,,,,
11,4096000,552,162,0.0003,0.017500993,-0.003545648634433746,-0.003545648634433746,-0.24736944115161896,-0.01464868150651455,0.0853125,0.0114701979868114,0.9646053314208984,0.2,1938,,,,,,,,
12,4104192,592,165,0.0003,0.014970231,0.0009443233132191088,0.0009443233132191088,-0.2520106443385968,-0.011311223730444908,0.07067169540229885,0.011953675241648466,0.9692971706390381,0.2,1940,,,,,,,,
,,,,0.0003,0.022373693,-0.018953052764387662,,-0.2560798380937841,-0.03960760682821274,0.11470992476851852,0.009510514884755981,0.9582009315490723,0.2,1947,2.665,0.155,0.0,0.025,0.845,175.535,214.93,13.385
13,4112384,742,143,,,,,,,,,,,,,,,,,,,
14,4120576,784,146,0.0003,0.024748886,-0.017017210534776582,-0.017017210534776582,-0.26467410076600906,-0.03919707611203194,0.11433157099697885,0.008534271923510015,0.9628880023956299,0.2,1953,,,,,,,,
15,4128768,825,148,0.0003,0.051928427,-0.003107425102693889,-0.003107425102693889,-0.2643594452898011,-0.029351603239774704,0.08546040076335878,0.011818900046770582,0.9621850848197937,0.2,1956,,,,,,,,
16,4136960,865,151,0.0003,0.018360794,0.00024513810058124363,0.00024513810058124363,-0.268011243827641,-0.019608039408922195,0.0734375,0.013814988639205694,0.9611958861351013,0.2,1958,,,,,,,,
17,4145152,906,153,0.0003,0.020791734,-0.01366389085590018,-0.01366389085590018,-0.2653416474973123,-0.016417402774095535,0.1006705216535433,0.009379560239686389,0.9671275019645691,0.2,1962,,,,,,,,
18,4153344,948,155,0.0003,0.027544394,-0.011663769416492244,-0.011663769416492244,-0.2692971769908462,-0.035748038440942764,0.10325915404040405,0.01215869115637333,0.9565194249153137,0.2,1966,,,,,,,,
,,,,0.0003,0.024975365,-0.00384030644017369,,-0.27501459386366517,-0.021743129938840866,0.09783115671641791,0.014092436296615139,0.9620819687843323,0.2,1969,2.76,0.135,0.005,0.035,0.86,175.93,217.805,13.86
19,4161536,1089,142,,,,,,,,,,,,,,,,,,,
20,4169728,1130,144,0.0003,0.01882229,-0.01056650151448274,-0.01056650151448274,-0.27030118429982986,-0.02429121732711792,0.09822635135135135,0.010882176353117903,0.9647125601768494,0.2,1972,,,,,,,,
21,4177920,1171,146,0.0003,0.029826423,-0.010886177587776612,-0.010886177587776612,-0.2849984054382031,-0.03640298172831535,0.11033653846153846,0.010381990623397706,0.9689959287643433,0.2,1976,,,,,,,,
22,4186112,1210,148,0.0003,0.010028867,0.0039040394127368926,0.0039040394127368926,-0.2855692436297735,0.06699052453041077,0.06145833333333333,0.01518589931850632,0.9741880297660828,0.2,1977,,,,,,,,
23,4194304,1250,150,0.0003,0.03745108,0.004753285139004755,0.004753285139004755,-0.28462248273632107,-0.014633587561547756,0.07295496323529412,0.016491343308349744,0.9663214087486267,0.2,1979,,,,,,,,
24,4202496,1292,152,0.0003,0.028690897,-0.004367870106720007,-0.004367870106720007,-0.25634370285731095,-0.006554215215146542,0.08389423076923076,0.011153842419242629,0.971632182598114,0.2,1982,,,,,,,,
,,,,0.0003,0.014667068,-0.0017751932191925172,,-0.2766643119418723,-0.02534467726945877,0.08473557692307693,0.015894157549318593,0.9615126252174377,0.2,1984,2.69,0.13,0.0,0.03,0.87,173.225,217.48,13.71
25,4210688,1434,142,,,,,,,,,,,,,,,,,,,
26,4218880,1478,144,0.0003,0.022379462,-0.015221319410060956,-0.015221319410060956,-0.2753774739914771,-0.05285932868719101,0.10390033143939394,0.008894220588968672,0.9687471985816956,0.2,1989,,,,,,,,
27,4227072,1521,145,0.0003,0.048381884,-0.003048353754489343,-0.003048353754489343,-0.267443352198416,-0.03463893383741379,0.09041908914728682,0.012985699452719716,0.9664152264595032,0.2,1992,,,,,,,,
28,4235264,1564,146,0.0003,0.019648671,-0.011551859672181308,-0.011551859672181308,-0.27228387935707965,-0.01965855434536934,0.1048828125,0.010372671820611383,0.966985821723938,0.2,1996,,,,,,,,
29,4243456,1605,147,0.0003,0.019955534,0.0004967670305632055,0.0004967670305632055,-0.2799332864582539,-0.008693620562553406,0.08076171875,0.018265046633314342,0.9556987285614014,0.2,1998,,,,,,,,
30,4251648,1647,149,0.0003,0.021139206,-0.018308555347715864,-0.018308555347715864,-0.2700020447619284,-0.04583940654993057,0.11032900165016502,0.01042529805978336,0.9622999429702759,0.2,2003,,,,,,,,
,,,,0.0003,0.023164134,-0.004030019928612848,,-0.2718128284616192,-0.03431672975420952,0.09306569343065693,0.01072572186303726,0.9699265360832214,0.2,2006,2.615,0.145,0.0,0.01,0.855,176.065,215.54,14.0
31,4259840,1787,142,,,,,,,,,,,,,,,,,,,
32,4268032,1826,143,0.0003,0.028908134,0.005989472673677687,0.005989472673677687,-0.2710322926738369,-0.013804715126752853,0.07894123134328358,0.015504315134082267,0.9646192193031311,0.2,2008,,,,,,,,
33,4276224,1869,144,0.0003,0.026663544,-0.019997418290371157,-0.019997418290371157,-0.2628028095869595,-0.04345298185944557,0.1127809421182266,0.007753337319398969,0.9699193835258484,0.2,2015,,,,,,,,
34,4284416,1909,145,0.0003,0.018168041,-0.0016310570075323708,-0.0016310570075323708,-0.2667438640406257,-0.0014852131716907024,0.09243421052631579,0.012259721991262938,0.9689594507217407,0.2,2017,,,,,,,,
35,4292608,1951,146,0.0003,0.022180406,-0.0162788809042055,-0.0162788809042055,-0.2715005991272271,-0.03835083544254303,0.10997404153354633,0.00770297112276617,0.9709724187850952,0.2,2022,,,,,,,,
36,4300800,1992,148,0.0003,0.028594809,-0.011223912294954062,-0.011223912294954062,-0.2797892115265131,-0.03102005273103714,0.1078515625,0.010333242667838931,0.9660212993621826,0.2,2026,,,,,,,,
,,,,0.0003,0.018184956,-0.008761113649993406,,-0.27620237976636575,-0.02090555429458618,0.09617017663043478,0.011412811128969264,0.9636996388435364,0.2,2029,2.705,0.105,0.01,0.02,0.885,174.865,215.575,14.145
37,4308992,2131,142,,,,,,,,,,,,,,,,,,,
38,4317184,2172,143,0.0003,0.026669066,-0.004307331513811016,-0.004307331513811016,-0.2711455605246804,-0.02982609160244465,0.09150094696969698,0.012359230888471233,0.9664869904518127,0.2,2032,,,,,,,,
39,4325376,2214,144,0.0003,0.021703338,-0.014917279869856264,-0.014917279869856264,-0.27355011872692253,-0.03998158872127533,0.10581036121673004,0.010547529535984245,0.9578279852867126,0.2,2037,,,,,,,,
